Date,1st Floor Total Lights [kWh],2nd Floor Total Lights [kWh],Total [kWh]
6/1/2021 0:00,0.009016944,1.114581944,1.123598888
6/1/2021 1:00,0.009345556,0.986905556,0.996251112
6/1/2021 2:00,0.0093425,0.974953889,0.984296389
6/1/2021 3:00,0.010075555,0.908796944,0.918872499
6/1/2021 4:00,0.0092075,0.938342223,0.947549723
6/1/2021 5:00,0.00925,0.870071944,0.879321944
6/1/2021 6:00,0.008284723,0.932656111,0.940940834
6/1/2021 7:00,0.00896,0.970776667,0.979736667
6/1/2021 8:00,0.009389722,1.064759722,1.074149444
6/1/2021 9:00,0.026472778,1.619599444,1.646072222
6/1/2021 10:00,0.300529722,2.252248056,2.552777778
6/1/2021 11:00,0.306702222,2.455456667,2.762158889
6/1/2021 12:00,0.3073725,2.348050555,2.655423055
6/1/2021 13:00,0.381875833,2.427838611,2.809714444
6/1/2021 14:00,0.384763611,2.330708334,2.715471945
6/1/2021 15:00,0.384804167,2.3683975,2.753201667
6/1/2021 16:00,0.335235556,2.455046666,2.790282222
6/1/2021 17:00,0.380732222,2.295418334,2.676150556
6/1/2021 18:00,0.183156389,1.803208611,1.986365
6/1/2021 19:00,0.012766111,1.320708333,1.333474444
6/1/2021 20:00,0.010446667,1.206804722,1.217251389
6/1/2021 21:00,0.009871388,1.191462778,1.201334166
6/1/2021 22:00,0.00878,1.058183056,1.066963056
6/1/2021 23:00,0.009361389,1.031203333,1.040564722
6/2/2021 0:00,0.009591111,1.053172222,1.062763333
6/2/2021 1:00,0.009558612,0.953466667,0.963025279
6/2/2021 2:00,0.010305277,0.961866667,0.972171944
6/2/2021 3:00,0.008994723,0.939866666,0.948861389
6/2/2021 4:00,0.008926388,0.932382778,0.941309166
6/2/2021 5:00,0.008636945,0.930489444,0.939126389
6/2/2021 6:00,0.008043611,0.890404167,0.898447778
6/2/2021 7:00,0.007779167,0.8923375,0.900116667
6/2/2021 8:00,0.008873333,0.999181111,1.008054444
6/2/2021 9:00,0.172724167,1.808384445,1.981108612
6/2/2021 10:00,0.308594722,2.179670833,2.488265555
6/2/2021 11:00,0.309882778,2.331723333,2.641606111
6/2/2021 12:00,0.304586944,2.489500278,2.794087222
6/2/2021 13:00,0.303305556,2.721812222,3.025117778
6/2/2021 14:00,0.304598889,2.611895834,2.916494723
6/2/2021 15:00,0.305776111,2.376012777,2.681788888
6/2/2021 16:00,0.307045833,2.480631389,2.787677222
6/2/2021 17:00,0.309107778,2.239820834,2.548928612
6/2/2021 18:00,0.181728611,2.019855555,2.201584166
6/2/2021 19:00,0.010412778,1.436093334,1.446506112
6/2/2021 20:00,0.010322222,1.203609166,1.213931388
6/2/2021 21:00,0.009875278,1.182775556,1.192650834
6/2/2021 22:00,0.008922222,1.058471389,1.067393611
6/2/2021 23:00,0.009311111,1.112257222,1.121568333
6/3/2021 0:00,0.0098475,1.074013611,1.083861111
6/3/2021 1:00,0.009330278,0.946796111,0.956126389
6/3/2021 2:00,0.009287778,0.931609445,0.940897223
6/3/2021 3:00,0.009533611,0.892637777,0.902171388
6/3/2021 4:00,0.009506111,0.914133611,0.923639722
6/3/2021 5:00,0.009083611,0.8763025,0.885386111
6/3/2021 6:00,0.008656111,0.892810834,0.901466945
6/3/2021 7:00,0.008607222,0.877953611,0.886560833
6/3/2021 8:00,0.008801389,0.980861111,0.9896625
6/3/2021 9:00,0.009047222,1.512635278,1.5216825
6/3/2021 10:00,0.275299723,2.056510555,2.331810278
6/3/2021 11:00,0.309326666,2.180290278,2.489616944
6/3/2021 12:00,0.30942,2.583915278,2.893335278
6/3/2021 13:00,0.311735556,2.465434444,2.77717
6/3/2021 14:00,0.37253,2.630823611,3.003353611
6/3/2021 15:00,0.381766666,2.334861112,2.716627778
6/3/2021 16:00,0.385520278,2.369333333,2.754853611
6/3/2021 17:00,0.185070556,2.019710278,2.204780834
6/3/2021 18:00,0.067330278,1.882636944,1.949967222
6/3/2021 19:00,0.009855555,1.353216111,1.363071666
6/3/2021 20:00,0.009205833,1.225475556,1.234681389
6/3/2021 21:00,0.00933,1.158820555,1.168150555
6/3/2021 22:00,0.0097325,1.085578334,1.095310834
6/3/2021 23:00,0.008915,1.087563055,1.096478055
6/4/2021 0:00,0.009391112,1.079254445,1.088645557
6/4/2021 1:00,0.009371111,0.942413333,0.951784444
6/4/2021 2:00,0.009188889,0.895193889,0.904382778
6/4/2021 3:00,0.009602777,0.874758611,0.884361388
6/4/2021 4:00,0.009075834,0.989033333,0.998109167
6/4/2021 5:00,0.008011389,0.983526111,0.9915375
6/4/2021 6:00,0.007530277,0.964108334,0.971638611
6/4/2021 7:00,0.008400556,0.999649166,1.008049722
6/4/2021 8:00,0.008125,1.171273889,1.179398889
6/4/2021 9:00,0.009905,1.1873925,1.1972975
6/4/2021 10:00,0.009279167,1.5197175,1.528996667
6/4/2021 11:00,0.010948333,1.535885,1.546833333
6/4/2021 12:00,0.011321667,1.464566667,1.475888334
6/4/2021 13:00,0.011836666,1.601344722,1.613181388
6/4/2021 14:00,0.011106111,1.232818334,1.243924445
6/4/2021 15:00,0.011522778,1.042209444,1.053732222
6/4/2021 16:00,0.009259445,1.063296111,1.072555556
6/4/2021 17:00,0.0103825,1.102476667,1.112859167
6/4/2021 18:00,0.010371944,1.130670278,1.141042222
6/4/2021 19:00,0.01009,1.038696388,1.048786388
6/4/2021 20:00,0.008918611,1.082460278,1.091378889
6/4/2021 21:00,0.009635833,1.299204167,1.30884
6/4/2021 22:00,0.009434167,1.2625725,1.272006667
6/4/2021 23:00,0.009008333,1.240286111,1.249294444
6/5/2021 0:00,0.008956389,1.307782778,1.316739167
6/5/2021 1:00,0.009652778,1.17014,1.179792778
6/5/2021 2:00,0.009320833,1.133634166,1.142954999
6/5/2021 3:00,0.009415,1.166551112,1.175966112
6/5/2021 4:00,0.00815,1.159693611,1.167843611
6/5/2021 5:00,0.008537778,1.151031944,1.159569722
6/5/2021 6:00,0.008067222,1.138942778,1.14701
6/5/2021 7:00,0.0087725,1.061724722,1.070497222
6/5/2021 8:00,0.008067778,1.051639445,1.059707223
6/5/2021 9:00,0.009749722,1.063268888,1.07301861
